=== CFS input values ===
num_process = 10
sched_latency = 48
min_granularity = 3
burst_time = [30,30,30,30,30,30,30,30,30,30]
nice_value = [0,0,0,0,0,0,0,0,0,0]
=== CFS algorithm ===
=== Step 0 ===
Process	Weight	Remain	Slice
P0	1024	30	4
P1	1024	30	4
P2	1024	30	4
P3	1024	30	4
P4	1024	30	4
P5	1024	30	4
P6	1024	30	4
P7	1024	30	4
P8	1024	30	4
P9	1024	30	4
=== Step 1 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	30	4
P2	1024	30	4
P3	1024	30	4
P4	1024	30	4
P5	1024	30	4
P6	1024	30	4
P7	1024	30	4
P8	1024	30	4
P9	1024	30	4
=== Step 2 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	30	4
P3	1024	30	4
P4	1024	30	4
P5	1024	30	4
P6	1024	30	4
P7	1024	30	4
P8	1024	30	4
P9	1024	30	4
=== Step 3 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	26	4
P3	1024	30	4
P4	1024	30	4
P5	1024	30	4
P6	1024	30	4
P7	1024	30	4
P8	1024	30	4
P9	1024	30	4
=== Step 4 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	26	4
P3	1024	26	4
P4	1024	30	4
P5	1024	30	4
P6	1024	30	4
P7	1024	30	4
P8	1024	30	4
P9	1024	30	4
=== Step 5 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	26	4
P3	1024	26	4
P4	1024	26	4
P5	1024	30	4
P6	1024	30	4
P7	1024	30	4
P8	1024	30	4
P9	1024	30	4
=== Step 6 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	26	4
P3	1024	26	4
P4	1024	26	4
P5	1024	26	4
P6	1024	30	4
P7	1024	30	4
P8	1024	30	4
P9	1024	30	4
=== Step 7 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	26	4
P3	1024	26	4
P4	1024	26	4
P5	1024	26	4
P6	1024	26	4
P7	1024	30	4
P8	1024	30	4
P9	1024	30	4
=== Step 8 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	26	4
P3	1024	26	4
P4	1024	26	4
P5	1024	26	4
P6	1024	26	4
P7	1024	26	4
P8	1024	30	4
P9	1024	30	4
=== Step 9 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	26	4
P3	1024	26	4
P4	1024	26	4
P5	1024	26	4
P6	1024	26	4
P7	1024	26	4
P8	1024	26	4
P9	1024	30	4
=== Step 10 ===
Process	Weight	Remain	Slice
P0	1024	26	4
P1	1024	26	4
P2	1024	26	4
P3	1024	26	4
P4	1024	26	4
P5	1024	26	4
P6	1024	26	4
P7	1024	26	4
P8	1024	26	4
P9	1024	26	4
=== Step 11 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	26	4
P2	1024	26	4
